q,tau,delta,AUC_R,AUC_N,Dose,rho_T,S_T,R_T,N_T,A_max,J_N,J_R,J_D,J,No_dominada
0.0,1.8125,0.32,406520.85149453155,1412602952.1129823,0.0,0.0002473557306351203,816385583.5974385,201987.61530488648,816587571.2127433,0.0,0.1412602952112982,1.1614881471272331e-05,0.0,0.1412719100927695,True
0.0,1.8125,0.41,406520.85149453155,1412602952.1129823,0.0,0.0002473557306351203,816385583.5974385,201987.61530488648,816587571.2127433,0.0,0.1412602952112982,1.1614881471272331e-05,0.0,0.1412719100927695,True
0.0,1.8125,0.5,406520.85149453155,1412602952.1129823,0.0,0.0002473557306351203,816385583.5974385,201987.61530488648,816587571.2127433,0.0,0.1412602952112982,1.1614881471272331e-05,0.0,0.1412719100927695,True
0.0,2.0,0.05,406520.85149453155,1412602952.1129823,0.0,0.0002473557306351203,816385583.5974385,201987.61530488648,816587571.2127433,0.0,0.1412602952112982,1.1614881471272331e-05,0.0,0.1412719100927695,True
0.0,2.0,0.14,406520.85149453155,1412602952.1129823,0.0,0.0002473557306351203,816385583.5974385,201987.61530488648,816587571.2127433,0.0,0.1412602952112982,1.1614881471272331e-05,0.0,0.1412719100927695,True
0.0,2.0,0.22999999999999998,406520.85149453155,1412602952.1129823,0.0,0.0002473557306351203,816385583.5974385,201987.61530488648,816587571.2127433,0.0,0.1412602952112982,1.1614881471272331e-05,0.0,0.1412719100927695,True
0.0,2.0,0.32,406520.85149453155,1412602952.1129823,0.0,0.0002473557306351203,816385583.5974385,201987.61530488648,816587571.2127433,0.0,0.1412602952112982,1.1614881471272331e-05,0.0,0.1412719100927695,True
0.0,2.0,0.41,406520.85149453155,1412602952.1129823,0.0,0.0002473557306351203,816385583.5974385,201987.61530488648,816587571.2127433,0.0,0.1412602952112982,1.1614881471272331e-05,0.0,0.1412719100927695,True
0.0,2.0,0.5,406520.85149453155,1412602952.1129823,0.0,0.0002473557306351203,816385583.5974385,201987.61530488648,816587571.2127433,0.0,0.1412602952112982,1.1614881471272331e-05,0.0,0.1412719100927695,True
0.75,0.5,0.05,407867.5364773685,1405429840.5377247,0.5250000000000001,0.00024973955461527495,813998327.5852188,203338.36142052858,814201665.9466393,0.04406688643675956,0.14054298405377247,1.1653358185067672e-05,0.0006250000000000002,0.14117963741195752,False
0.75,0.5,0.14,421788.28837944724,1332328070.4923177,1.4700000000000006,0.0002770795635241011,785175148.3997625,217616.2844336841,785392764.6841962,0.11036303452616375,0.13323280704923177,1.2051093953698493e-05,0.001750000000000001,0.13499485814318546,True
0.75,0.5,0.22999999999999998,445562.28904895193,1212298450.1632712,2.415,0.00033125407252667456,734035248.4418042,243232.7372592659,734278481.1790634,0.16039492647959347,0.12122984501632711,1.2730351115684342e-05,0.0028750000000000004,0.12411757536744279,True
0.75,0.5,0.32,478516.0493258594,1055245045.3357122,3.3599999999999994,0.00042592538366335663,660103569.7671322,281274.6682315984,660384844.4353638,0.19858755545767295,0.1055245045335712,1.3671887123595983e-05,0.003999999999999999,0.1095381764206948,True
0.75,0.5,0.41,519170.07565222017,874526775.3013954,4.305,0.0005870607677675324,565688890.5992537,332288.82816734596,566021179.427421,0.22774289953039187,0.08745267753013954,1.4833430732920577e-05,0.005125,0.09259251096087247,True
0.75,0.5,0.5,565125.1722853561,684784714.9619908,5.25,0.0008663333573543523,456098458.13693887,395475.9225056149,456493934.0594445,0.24999999981043447,0.06847847149619908,1.6146433493867316e-05,0.00625,0.07474461792969295,True
0.75,0.6875,0.05,407589.0892800202,1406851213.1490538,0.41250000000000003,0.0002493016262385494,814350422.9912176,203069.51033892808,814553492.5015565,0.03952591202358663,0.14068512131490538,1.1645402550857722e-05,0.0004910714285714287,0.14118783814602767,True
0.75,0.6875,0.14,415694.300790385,1364373354.153675,1.1437500000000003,0.0002645745714588512,798201736.9595143,211239.7711657054,798412976.73068,0.09822620941044335,0.1364373354153675,1.1876980022582429e-05,0.0013616071428571431,0.13781081953824723,True
0.75,0.6875,0.22999999999999998,429626.7916823484,1292665484.1176643,1.8187499999999999,0.0002929211690361715,770554102.7012122,225777.74364946937,770779880.4448617,0.1427176604451813,0.12926654841176644,1.227505119092424e-05,0.0021651785714285714,0.13144400203438592,True
0.75,0.6875,0.32,448566.7938159747,1198233240.444132,2.49375,0.0003370711766304947,730856682.6406169,246433.7876927119,731103116.4283096,0.1767476316788064,0.1198233240444132,1.281619410902785e-05,0.00296875,0.12280489023852224,False
0.75,0.6875,0.41,471840.213035365,1086858570.1721628,3.1687499999999997,0.00040190595736200156,679467007.8698021,273191.6356396725,679740199.5054418,0.20269694234819402,0.10868585701721627,1.3481148943867572e-05,0.0037723214285714287,0.11247165959473156,True
0.75,0.6875,0.5,498945.98265999113,963180669.7333076,3.84375,0.0004962277449202094,616842514.4858706,306246.33786386345,617148760.8237345,0.22250503903945204,0.09631806697333076,1.4255599504571176e-05,0.004575892857142857,0.10090821542997819,True
0.75,0.875,0.05,407280.54477745784,1408878015.337771,0.30000000000000004,0.00024850535533274304,815427821.2614644,202688.54966084,815630509.8111252,0.03726190095304195,0.14088780153377709,1.1636586993641653e-05,0.0003571428571428572,0.14125658097791358,False
0.75,0.875,0.14,413062.66195806605,1378181699.9571354,0.8400000000000001,0.00025920864737896015,804362053.6810712,208551.65833089757,804570605.3394021,0.09243414724752687,0.13781816999571353,1.180179034165903e-05,0.0010000000000000002,0.1388299717860552,False
0.75,0.875,0.22999999999999998,422821.90851297486,1327492536.5249302,1.38,0.0002782725506298118,785346912.768217,218601.31929195047,785565514.0875089,0.13346661713411262,0.13274925365249302,1.208062595751357e-05,0.0016428571428571427,0.13440419142130766,True
