Escenario,t,S,R,A
Baja intensidad,6.406666666666667,637077843.4382993,189544.76388518183,0.07246714932334886
Baja intensidad,6.41,637959945.230575,189762.20851401452,0.07174608913986008
Baja intensidad,6.413333333333334,638841838.5845202,189979.37498384537,0.07103220362507578
Baja intensidad,6.416666666666667,639723503.6350123,190196.26183915924,0.07032542138984856
Baja intensidad,6.420000000000001,640604920.7914797,190412.86763847028,0.06962567175536152
Baja intensidad,6.423333333333334,641486070.7338341,190629.1909542243,0.0689328847460712
Baja intensidad,6.426666666666667,642366934.408443,190845.23037270247,0.06824699108270195
Baja intensidad,6.430000000000001,643247493.0241684,191060.98449392585,0.06756792217531508
Baja intensidad,6.433333333333334,644127728.0484859,191276.45193156184,0.06689561011645168
Baja intensidad,6.436666666666667,645007621.2036719,191491.6313128321,0.06622998767434263
Baja intensidad,6.44,645887154.4630618,191706.52127842122,0.06557098828619463
Baja intensidad,6.443333333333333,646766310.0473318,191921.120482387,0.06491854605151982
Baja intensidad,6.446666666666667,647645070.4208719,192135.42759207112,0.06427259572554955
Baja intensidad,6.45,648523418.2882148,192349.4412880119,0.06363307271270967
Baja intensidad,6.453333333333334,649401336.5905446,192563.16026385836,0.06299991306016797
Baja intensidad,6.456666666666667,650278808.5022287,192776.5832262846,0.06237305345143451
Baja intensidad,6.460000000000001,651155817.4274175,192989.70889490572,0.061752431200025173
Baja intensidad,6.463333333333334,652032346.9967082,193202.53600219445,0.061137984243195644
Baja intensidad,6.466666666666667,652908381.0638672,193415.06329339984,0.06052965113573569
Baja intensidad,6.470000000000001,653783903.7026175,193627.28952646637,0.05992737104383219
Baja intensidad,6.473333333333334,654658899.2034403,193839.21347195358,0.059331083738974645
Baja intensidad,6.4766666666666675,655533352.0704615,194050.83391295758,0.05874072959193412
Baja intensidad,6.48,656407247.0183812,194262.14964503289,0.058156249566800884
Baja intensidad,6.483333333333333,657280568.9694743,194473.15947611615,0.05757758521508746
Baja intensidad,6.486666666666667,658153303.0506127,194683.86222645018,0.05700467866987864
Baja intensidad,6.49,659025434.5903405,194894.25672850836,0.05643747264004235
Baja intensidad,6.493333333333334,659896949.11601,195104.34182692118,0.055875910404500434
Baja intensidad,6.496666666666667,660767832.3509636,195314.11637840272,0.05531993580655961
Baja intensidad,6.5,661638070.2117771,195523.57925167916,0.0547694932483009
Baja intensidad,6.503333333333334,662507648.8055086,195732.72932741672,0.0542245276850099
