q,tau,delta,AUC_R,AUC_N,Dose,rho_T,S_T,R_T,N_T,A_max,J_N,J_R,J_D,J
8.0,1.0,0.1,645040.0689214302,387940294.3212683,5.6,0.0017534932953075517,293779361.7033515,516045.0225336486,294295406.72588515,0.7272745086446825,0.03879402943212683,1.8429716254898005e-05,0.006666666666666666,0.04547912581504839
8.25,1.0,0.1,653090.1540338184,358155194.5336707,5.7749999999999995,0.001946353296816549,271609289.1186436,529678.5769666032,272138967.69561017,0.7500018484722076,0.03581551945336707,1.8659718686680526e-05,0.006875,0.04270917917205375
8.5,1.0,0.1,660663.3313019273,330128562.61509603,5.949999999999999,0.0021630496215468407,250366770.6948449,542729.6998712978,250909500.3947162,0.7727288377452027,0.0330128562615096,1.8876095180055068e-05,0.007083333333333333,0.04011506569002298
8.75,1.0,0.1,667744.6617600117,303851246.34731543,6.125,0.002406502182864588,230129516.27857313,555143.1364355925,230684659.41500872,0.7954559527241495,0.03038512463473154,1.9078418907428903e-05,0.007291666666666667,0.037695869720305634
9.0,1.0,0.1,674324.5241109007,279298313.68944746,6.3,0.00267997867069152,210955143.49855155,566874.4966086572,211522017.9951602,0.8181843097412064,0.02792983136894474,1.9266414974597164e-05,0.0075,0.03544909778391934
9.25,1.0,0.1,680398.8840197525,256432051.49174294,6.475,0.002987086732947325,192884889.44509974,577890.1021045671,193462779.54720432,0.8409102187892198,0.025643205149174293,1.9439968114850074e-05,0.007708333333333333,0.03337097845062248
9.5,1.0,0.1,685969.1354304345,235200832.38242334,6.6499999999999995,0.0033318425651190707,175941122.06808683,588167.8019793292,176529289.87006617,0.863638421703589,0.023520083238242333,1.9599118155155273e-05,0.007916666666666667,0.031456349023064156
9.75,1.0,0.1,691041.7160128364,215542226.3921666,6.824999999999999,0.0037187236292055004,160128608.92674688,597696.7106085388,160726305.63735542,0.8863641685932125,0.02155422263921666,1.9744049028938183e-05,0.008125,0.0296989666882456
10.0,1.0,0.1,695626.0159711654,197388862.32984528,7.0,0.004152615115377117,145439744.64231843,606473.7339730553,146046218.37629148,0.9090934253509856,0.019738886232984525,1.9875029027747584e-05,0.008333333333333335,0.028092094595345608
10.25,1.0,0.1,699736.6414025471,180662544.13609588,7.175,0.004639031629643549,131850066.92950515,614507.3498893786,132464574.27939454,0.9318211467697188,0.018066254413609588,1.9992475468644204e-05,0.008541666666666666,0.026627913555744898
10.5,1.0,0.1,703389.417200836,165284786.07157105,7.35,0.0051839939936680355,119326489.02058679,621811.2682480095,119948300.2888348,0.954547211991075,0.016528478607157105,2.009684049145246e-05,0.008749999999999999,0.025298575447648554
10.75,1.0,0.1,706602.9378935745,151174256.1364758,7.5249999999999995,0.005794099207655743,107827791.09002095,628405.9654243105,108456197.05544527,0.9772745656114332,0.015117425613647581,2.0188655368387845e-05,0.008958333333333332,0.024095947602349302
11.0,1.0,0.1,709396.9713245049,138248609.34591657,7.699999999999999,0.00647667377672245,97304350.32343529,634316.7970665032,97938667.1205018,1.0000015970214982,0.013824860934591655,2.0268484894985858e-05,0.009166666666666667,0.023011796086153308
11.25,1.0,0.1,711792.8767984569,126425665.56539285,7.874999999999999,0.007239747195342817,87702396.31755759,639573.5284235013,88341969.84598109,1.0227302808501253,0.012642566556539284,2.0336939337098766e-05,0.009375,0.022037903495876383
11.5,1.0,0.1,713811.9726886807,115626159.3494088,8.049999999999999,0.008092062861405989,78965622.79379319,644207.7531719203,79609830.5469651,1.0454563261859124,0.011562615934940878,2.0394627791105168e-05,0.009583333333333333,0.021166343896065316
11.75,1.0,0.1,715476.2511884564,105771735.81698863,8.225,0.009043301905291647,71035048.57896492,648253.7444791993,71683302.32344411,1.0681851365713397,0.010577173581698863,2.044217860538447e-05,0.009791666666666667,0.020389282426970915
12.0,1.0,0.1,716807.0220604374,96788972.33875568,8.399999999999999,0.010103874853993415,63852785.956690095,651745.7155315824,64504531.672221676,1.0909121345045125,0.009678897233875569,2.0480200630298213e-05,0.009999999999999998,0.019699377434505866
